title,Adorescore,Emotional Coverage,High Intensity,Medium Intensity,Low Intensity,Joy Index,Trust Index,Interest Index,Surprise Index,Sadness Index,Disgust Index,Anger Index,Apprehension Index
"Meet ITQ-55, a truly revolutionary material ",50,50.00%,8.33%,25.00%,66.67%,38,62,30,20,0,0,7,0
Meet the women leading the way in Brazil ,40,45.45%,9.09%,9.09%,81.82%,35,64,0,19,0,3,8,0
Meeting Needs and Reducing Emissions ,22,62.50%,0.00%,8.33%,91.67%,36,8,27,18,19,5,8,6
Megan Ruhmel: The future in a petri dish ,23,33.33%,0.00%,20.00%,80.00%,41,8,0,21,0,0,8,0
Methane regulation: Stay pragmatic and seek the possible ,27,50.00%,0.00%,7.14%,92.86%,41,16,22,21,18,0,8,11
Microbial researchers turned algae farmers ,-45,62.50%,18.18%,27.27%,54.55%,36,9,40,21,63,74,65,0
Misschien wordt dit wel de manier om CO2 af te vangen ,24,14.29%,0.00%,25.00%,75.00%,41,9,0,21,0,0,8,0
Modern marvels need modern fuels ,62,75.00%,20.00%,20.00%,60.00%,83,25,31,56,0,0,8,0
Molecule by molecule: How carbon capture cuts CO2 emissions ,-2,61.54%,0.00%,8.33%,91.67%,37,18,22,20,25,18,18,37
Moore’s law is alive and well in the energy industry ,32,50.00%,6.25%,18.75%,75.00%,61,7,7,21,4,0,8,0
Moving forward on methane ,30,42.86%,0.00%,16.67%,83.33%,41,9,20,21,0,0,8,0
My New Year’s Resolution: Malaria Edition ,-61,54.55%,20.00%,20.00%,60.00%,37,20,31,21,88,96,8,71
National Engineers Week: Embracing the future ,50,70.00%,15.38%,7.69%,76.92%,68,55,12,21,3,0,8,8
Natural Gas Could Save Small Businesses Big Bucks ,32,72.73%,0.00%,16.67%,83.33%,43,34,14,18,5,9,10,6
Natural gas: Fueling the future ,23,55.56%,0.00%,11.11%,88.89%,41,12,0,18,0,2,10,0
"New energy and big plans for Beaumont, Texas ",34,50.00%,0.00%,28.57%,71.43%,41,11,34,21,5,0,9,0
New ethane cracker marks key milestone toward growing the gulf ,18,69.23%,0.00%,16.67%,83.33%,34,16,27,19,23,15,8,16
Nicole Vaughn: Blending a better future ,44,50.00%,12.50%,12.50%,75.00%,59,23,30,21,0,0,8,0
Nimble thinking got Beaumont’s water plant pumping again ,-54,33.33%,33.33%,11.11%,55.56%,35,9,30,21,84,70,70,0
Nimble thinking got Beaumont’s water plant pumping again ,-54,33.33%,33.33%,11.11%,55.56%,35,9,30,21,84,70,70,0
Nine things you might not know about helium ,-30,27.27%,16.67%,16.67%,66.67%,41,9,0,21,91,0,8,31
Nine things you might not know about lubricants ,16,36.36%,28.57%,14.29%,57.14%,41,81,0,21,91,0,8,31
Ninja Nate: Engineer on a mission ,48,50.00%,0.00%,30.00%,70.00%,41,49,12,50,3,0,8,8
NMSI at 10: A decade of supporting math and science education ,45,46.67%,7.69%,30.77%,61.54%,34,43,59,21,32,0,8,0
Not your average summer camp ,24,37.50%,0.00%,25.00%,75.00%,41,9,0,21,0,0,8,0
Oil rigs: From time to time ,-9,60.00%,0.00%,43.75%,56.25%,40,8,0,35,0,21,31,43
On the cutting edge of manufacturing and high-tech workforce training ,40,40.00%,9.09%,9.09%,81.82%,41,9,60,21,0,0,8,12
On the energy offensive: Scoring big with the NBA ,-40,46.15%,20.00%,13.33%,66.67%,62,12,14,19,5,100,77,0
On the fast track: Indonesia’s car sales and need for energy ,31,37.50%,0.00%,23.08%,76.92%,36,8,36,21,9,0,8,0
One-of-a-kind partners working on breakthrough innovations ,60,45.45%,8.33%,33.33%,58.33%,46,61,59,21,0,0,8,0
Onsite with Renewable Energy Innovators | Energy Fa,44,44.44%,0.00%,22.22%,77.78%,32,26,55,21,0,0,8,0
Opening day in Singapore ,2,57.14%,0.00%,18.18%,81.82%,31,9,0,22,0,18,8,34
Opportunity on the horizon in Guyana ,37,44.44%,0.00%,42.86%,57.14%,38,9,44,21,0,0,8,0
Our commitment to methane reduction won’t change ,-19,36.36%,28.57%,28.57%,42.86%,37,63,0,0,43,0,84,0
Our commitment to methane reduction won’t change ,-19,36.36%,28.57%,28.57%,42.86%,37,63,0,0,43,0,84,0
Our coronavirus response: Meeting a new challenge ,-22,54.55%,6.67%,26.67%,66.67%,40,8,32,18,67,47,8,8
Our responsibilities as a corporate citizen ,33,55.56%,0.00%,41.67%,58.33%,35,41,38,21,0,8,8,45
Our sustainability report ,14,50.00%,0.00%,37.50%,62.50%,41,12,0,31,10,0,8,40
Partnering for efficiency ,45,66.67%,10.00%,20.00%,70.00%,30,65,17,21,0,0,8,0
Partnering with outside minds to transform energy ,47,50.00%,8.33%,16.67%,75.00%,37,71,18,19,0,0,8,6
Pat Goschy: Don’t get married … to one idea ,65,35.71%,20.00%,10.00%,70.00%,78,85,19,21,0,0,8,0
Patrick Hanks: Algae engineer ,-54,62.50%,16.67%,25.00%,58.33%,41,8,12,21,53,82,74,8
Paying dividends: A Texas city sees ripples of revitalization ,66,46.15%,21.43%,7.14%,71.43%,54,78,28,73,24,0,10,0
Pearls of the New York Harbor: The Billion Oyster Project ,33,42.86%,0.00%,30.00%,70.00%,37,9,33,21,0,0,8,0
Permian Basin: Growth on the Horizon ,24,40.00%,0.00%,12.50%,87.50%,31,10,11,21,0,0,8,0
Perspectives blog Archives ,30,83.33%,0.00%,16.67%,83.33%,41,9,18,21,0,0,8,0
Perspectives: World Malaria Day 2017 – Maintaining progress ,-59,66.67%,20.00%,20.00%,60.00%,32,13,56,18,88,83,8,84
Pioneers of innovation: A discovery that rewrote the book on seismic interpretation ,64,43.75%,18.18%,18.18%,63.64%,31,89,60,21,0,0,8,0
Pioneers of Innovation: Cornel Amariei: Far from an expert ,76,50.00%,33.33%,33.33%,33.33%,58,90,65,46,0,0,8,0
"Pioneers of innovation: George Mitchell, the father of an energy innovation no one saw coming ",-17,40.00%,25.00%,25.00%,50.00%,31,78,65,21,60,0,84,67
Pioneers of Innovation: How Elijah McCoy’s genius found an audience ,67,40.00%,33.33%,16.67%,50.00%,49,81,64,21,0,0,8,0
"Pioneers of Innovation: Rudolf Diesel, powering the world ",60,53.85%,9.09%,36.36%,54.55%,32,76,56,21,0,0,8,0
Pioneers of innovation: The battery that changed the world ,70,46.15%,30.00%,20.00%,50.00%,35,94,78,21,0,1,8,0
Pioneers of innovation: The battery that changed the world ,70,46.15%,30.00%,20.00%,50.00%,35,94,78,21,0,1,8,0
Plant power ,35,80.00%,0.00%,25.00%,75.00%,34,36,17,18,0,0,8,0
Planting the seed for renewable diesel ,38,55.56%,0.00%,37.50%,62.50%,35,36,7,35,0,0,8,0
Planting the seed for renewable diesel ,38,55.56%,0.00%,37.50%,62.50%,35,36,7,35,0,0,8,0
Plastic Recycling Innovations With Atando Cabos ,44,44.44%,0.00%,33.33%,66.67%,44,12,57,21,0,0,8,0
Power to the fuel cell ,17,62.50%,11.11%,22.22%,66.67%,34,31,17,21,71,0,8,0
Powering toward a total defeat of malaria ,-64,70.00%,26.32%,10.53%,63.16%,34,31,16,21,94,95,10,70
Preparation is key ,32,66.67%,0.00%,22.22%,77.78%,34,17,40,19,0,18,8,0
Producing solutions for frontline professionals ,35,62.50%,0.00%,18.18%,81.82%,37,38,8,21,0,0,8,0
Production begins in Guyana ,30,57.14%,0.00%,14.29%,85.71%,41,9,20,21,0,0,8,0
Protecting the animals may save the humans ,42,60.00%,0.00%,33.33%,66.67%,37,43,25,21,0,0,8,0
Push and pull: How energy defines daily life now and into the future ,15,47.06%,0.00%,9.52%,90.48%,35,12,14,21,14,18,8,12
Quiz: Are you an energy efficiency wiz? ,63,25.00%,0.00%,57.14%,42.86%,54,56,62,21,0,0,0,0
Racetrack lab ,21,80.00%,0.00%,14.29%,85.71%,41,9,0,21,6,5,7,0
"Racing for change, on and off the track ",27,33.33%,0.00%,12.50%,87.50%,41,8,19,21,9,0,8,0
Reducing methane emissions by leveraging terabytes ,14,44.44%,0.00%,11.11%,88.89%,41,9,0,18,19,5,8,6
Reducing methane emissions by leveraging terabytes ,14,44.44%,0.00%,11.11%,88.89%,41,9,0,18,19,5,8,6
Reducing natural gas flaring ,-17,71.43%,0.00%,20.00%,80.00%,41,9,0,18,25,2,10,62
Reducing Unintended Methane Gas Leaks ,-25,75.00%,0.00%,41.67%,58.33%,36,9,0,32,45,37,33,8
Removing the roadblock ,-23,66.67%,12.50%,37.50%,50.00%,41,9,0,21,43,0,73,0
Renewing breakthrough research with Princeton University energy center ,54,72.73%,4.76%,38.10%,57.14%,45,37,59,32,8,0,8,0
Researching a sustainable energy solution with metal-organic frameworks (MOFs) ,46,43.75%,5.56%,22.22%,72.22%,35,46,60,26,29,0,8,11
Researching solutions for lower emissions ,45,75.00%,6.25%,12.50%,81.25%,37,38,65,16,11,11,8,6
Responding to Disaster as a Global Citizen ,-51,50.00%,20.00%,30.00%,50.00%,41,31,6,20,76,56,8,78
Restarting a refinery: You don’t just flip a switch ,25,28.57%,0.00%,20.00%,80.00%,41,9,4,21,0,0,8,0
Reusable Face Masks: Rowan University’s Health Tech Innovation ,51,53.85%,0.00%,31.25%,68.75%,47,44,52,18,7,3,7,0
Reusable Face Masks: Rowan University’s Health Tech Innovation ,51,53.85%,0.00%,31.25%,68.75%,47,44,52,18,7,3,7,0
"Riding out the storm, together, inside a refinery ",-42,53.85%,11.11%,16.67%,72.22%,37,37,2,29,75,7,23,92
Rising above: Louisiana floodwaters no match for neighborly love ,50,53.85%,13.33%,46.67%,40.00%,73,74,30,37,0,61,8,30
Rites of engagement ,56,66.67%,10.00%,30.00%,60.00%,69,51,30,21,0,0,8,0
Road Trip: Tracking methane emissions across 11 states ,19,41.67%,0.00%,8.33%,91.67%,41,8,7,17,7,5,8,6
Ronda Smith Birdsong: A home-team effort ,40,25.00%,12.50%,25.00%,62.50%,64,31,8,21,0,0,8,12
Safe shutdown: The best-laid plan ,76,45.45%,27.27%,27.27%,45.45%,74,70,90,21,0,0,8,0
Safety can be sweet – much like brown M&M’s ,62,38.46%,22.22%,22.22%,55.56%,72,86,18,21,11,0,8,0
Safety training gets a dose of virtual reality ,61,45.45%,25.00%,37.50%,37.50%,38,86,75,21,0,41,8,0
Sarah Torkamani: Reaching out and lifting up ,32,36.36%,0.00%,30.00%,70.00%,36,20,50,21,0,0,8,44
Science & technology Archives ,37,71.43%,0.00%,37.50%,62.50%,35,28,29,21,0,0,8,0
Seven things to know about the future of energy ,26,41.67%,0.00%,20.00%,80.00%,38,9,10,21,0,0,8,0
Shareholder engagement on the future of energy and carbon ,50,50.00%,7.14%,28.57%,64.29%,62,44,31,21,0,0,8,12
She’s an LNG professional ,24,37.50%,0.00%,16.67%,83.33%,41,8,3,21,0,0,8,0
"Shipping embraces LNG engines for clean, efficient solution ",48,66.67%,14.29%,23.81%,61.90%,55,63,24,18,13,0,8,10
Singapore Energy Center: Science innovation bridging the globe ,41,58.33%,0.00%,33.33%,66.67%,38,25,47,21,8,0,8,0
Sitting in pole position ,22,71.43%,0.00%,9.09%,90.91%,41,8,8,21,8,0,8,10
Smart Technologies Driving Energy Efficiency ,65,62.50%,12.50%,50.00%,37.50%,69,56,62,21,0,0,8,0
Sound Science: Suzzy Ho ,40,50.00%,0.00%,42.86%,57.14%,41,28,28,21,0,0,8,0
Special delivery: Supplying sanitizer to frontline professionals ,39,63.64%,5.26%,10.53%,84.21%,55,15,35,21,5,0,8,11
Stacey Wilson: It’s all part of the process ,23,30.77%,0.00%,9.09%,90.91%,41,17,13,21,12,8,8,13
"Stacy Holland: A time to build up, a time for change ",25,31.25%,0.00%,38.46%,61.54%,40,8,25,33,0,0,8,43
States of reduction: Powering lower emissions ,25,60.00%,0.00%,13.33%,86.67%,34,36,17,16,24,11,8,6
Staying cool this summer with 5 simple tips to save energy ,52,57.14%,12.50%,25.00%,62.50%,51,35,61,21,0,0,8,11
Steve Scannell: The futurist ,24,25.00%,0.00%,25.00%,75.00%,41,9,0,21,0,0,8,0
Sunrise to sunset: 24 hours at an algae farm ,-46,53.85%,11.11%,22.22%,66.67%,47,9,15,30,58,78,64,0
Supporting workforce training on the Gulf Coast ,51,60.00%,8.33%,25.00%,66.67%,37,53,67,21,23,0,8,10
Sustainability on the shopping shelves ,31,37.50%,0.00%,20.00%,80.00%,41,9,21,21,0,0,8,0
Synthesizing the future ,23,50.00%,0.00%,20.00%,80.00%,41,8,0,21,0,0,8,0
Take their word for it ,20,50.00%,0.00%,10.00%,90.00%,34,12,26,21,0,28,8,18
Tax and regulatory reform’s economic boon ,19,60.00%,6.67%,40.00%,53.33%,51,17,41,23,0,60,8,39
"TBT: Gargoyles and tigers and…a Pegasus, oh my! ",25,14.29%,0.00%,25.00%,75.00%,41,9,0,21,0,0,1,0
TBT: How kerosene lanterns first lit China ,19,63.64%,0.00%,13.33%,86.67%,34,8,8,21,0,0,7,18
TBT: Lubricants smoothed the rise of modern racing ,55,58.33%,9.09%,18.18%,72.73%,46,74,27,21,0,0,8,0
TBT: When Dallas needed a landmark ,43,30.00%,0.00%,40.00%,60.00%,41,9,60,21,0,0,8,0
Teaming up to stop malaria ,-59,62.50%,27.27%,27.27%,45.45%,35,46,12,21,74,96,8,84
Tech minds: Like two of a kind ,51,27.27%,16.67%,33.33%,50.00%,77,52,0,21,0,0,8,0
Technology at the core of what we do ,21,27.27%,0.00%,20.00%,80.00%,35,9,0,21,0,0,8,0
"Testing, testing ",2,66.67%,0.00%,37.50%,62.50%,37,9,0,21,0,0,8,57
The case for CCS ,21,42.86%,0.00%,14.29%,85.71%,36,9,0,21,0,5,7,0
The Chief Ingredient to the Manufacturing Renaissance ,24,50.00%,0.00%,10.00%,90.00%,38,9,14,21,0,0,8,14
The energy of New Year’s Eve ,37,50.00%,0.00%,50.00%,50.00%,41,9,40,21,0,0,8,0
The evolving energy mix ,32,71.43%,0.00%,22.22%,77.78%,37,18,22,21,0,0,8,0
The fast lane to the future of trucking: SuperTruck ,35,46.15%,0.00%,20.00%,80.00%,34,15,39,21,0,0,8,6
"The fat, fit, fantastic green machine ",37,63.64%,20.00%,20.00%,60.00%,74,27,68,21,15,100,8,10
The fun of conducting breakthrough science ,60,66.67%,8.33%,58.33%,33.33%,77,33,57,21,0,0,8,0
The funnel before the tunnel ,21,37.50%,0.00%,16.67%,83.33%,41,9,0,21,4,5,8,0
The future of energy – opportunities and challenges ,38,45.45%,0.00%,44.44%,55.56%,42,8,44,21,0,0,8,0
The Future of Hydrogen Energy ,23,50.00%,0.00%,28.57%,71.43%,41,8,0,21,0,0,8,0
The Impact of Electricity on a Growing Economy: India ,21,46.15%,0.00%,6.25%,93.75%,37,14,16,21,10,0,8,21
The innovation incubator ,43,50.00%,0.00%,33.33%,66.67%,35,9,66,21,0,0,8,0
The Las Vegas testing grounds for new motor oil ,20,50.00%,0.00%,33.33%,66.67%,38,11,40,18,0,0,11,57
The new generation of innovators creating next-generation energy ,37,46.15%,0.00%,46.15%,53.85%,37,10,51,21,0,12,7,0
The next steps for next-generation biofuels ,5,27.27%,0.00%,0.00%,100.00%,12,10,0,0,0,0,7,0
The plastics that save lives in every ER ,50,27.27%,14.29%,28.57%,57.14%,52,73,0,21,0,0,8,0
The power of algae ,-49,57.14%,20.00%,30.00%,50.00%,34,36,17,21,63,82,74,0
The power of ideas ,36,57.14%,0.00%,25.00%,75.00%,34,36,18,21,0,0,8,0
The power of natural gas ,34,50.00%,0.00%,20.00%,80.00%,34,36,17,18,0,2,10,0
The power of natural gas ,34,50.00%,0.00%,20.00%,80.00%,34,36,17,18,0,2,10,0
The promise of natural gas is now ,38,40.00%,0.00%,20.00%,80.00%,35,56,3,18,0,2,10,0
The road to 2040: What’s fueling transportation growth ,25,38.46%,0.00%,11.11%,88.89%,30,13,11,21,0,0,8,0
The science behind driving longer on less ,26,50.00%,0.00%,33.33%,66.67%,41,28,34,18,30,30,8,0
The Smithsonian showcases the historic ‘Green Book’ ,29,41.67%,0.00%,12.50%,87.50%,37,9,25,21,0,4,8,6
The Sound Science of Cleaner Energy: Jenny Seagraves ,32,41.67%,20.00%,30.00%,50.00%,35,28,77,21,0,100,8,0
The sound science of cleaner energy: Jenny Seagraves ,32,41.67%,20.00%,30.00%,50.00%,35,28,77,21,0,100,8,0
The tailpipe’s connected to the… Internet ,30,27.27%,0.00%,14.29%,85.71%,41,9,20,21,0,0,7,0
The test of time: Finding the lifespan of an Edison Award-winning lubricant ,59,38.89%,17.65%,35.29%,47.06%,89,63,36,31,0,0,8,51
The true energy of the Permian Basin ,39,40.00%,0.00%,33.33%,66.67%,37,25,35,21,0,0,8,0
The U.S. is a net natural gas exporter - here’s why this is a big deal ,41,25.00%,0.00%,18.18%,81.82%,41,9,52,18,0,0,2,1
Then & now: A community rebuilding a year after Harvey ,47,21.43%,0.00%,42.86%,57.14%,35,40,46,21,0,0,8,0
These kinetic reactions are the coolest around ,49,50.00%,15.38%,7.69%,76.92%,61,16,65,19,7,0,8,12
"This box could transform how we make energy, take a peek! ",36,43.75%,0.00%,16.67%,83.33%,36,9,50,19,0,10,3,7
This microorganism is a tough character that’s not afraid to fight ,-58,40.00%,30.00%,10.00%,60.00%,8,52,8,0,44,0,84,100
"To improve STEM education, start with teachers ",53,54.55%,23.08%,7.69%,69.23%,56,17,69,21,0,0,8,0
Tools of the future for today’s energy workers ,22,50.00%,0.00%,14.29%,85.71%,40,7,9,19,0,6,7,6
Trending to lower emissions ,20,71.43%,0.00%,7.69%,92.31%,35,9,22,16,11,11,8,6
Turning up turtles ,24,33.33%,0.00%,25.00%,75.00%,41,9,0,21,0,0,8,0
Under the microscope: How energy savings and emission reductions begin at the molecular level ,22,50.00%,0.00%,15.79%,84.21%,47,11,18,19,28,5,7,6
Unexpected Energy ,24,80.00%,0.00%,33.33%,66.67%,41,9,0,21,0,0,8,0
Up for the challenge ,24,28.57%,0.00%,25.00%,75.00%,41,9,0,21,0,0,8,0
Using new technologies to reduce methane emissions ,27,60.00%,0.00%,25.00%,75.00%,37,9,40,18,19,5,8,6
Vacuuming CO2 straight out of the air ,15,50.00%,0.00%,20.00%,80.00%,31,9,0,29,8,7,23,0
Vacuuming CO2 straight out of the air ,15,50.00%,0.00%,20.00%,80.00%,31,9,0,29,8,7,23,0
Vijay Swarup: Energy is key to human progress ,35,50.00%,0.00%,23.08%,76.92%,34,13,51,20,0,18,8,0
Water robotics at the Y ,22,37.50%,0.00%,20.00%,80.00%,38,9,0,21,0,0,8,0
Welcome to the future of industrial design ,34,60.00%,7.69%,7.69%,84.62%,54,19,9,21,4,0,8,0
What algae-powered fuels mean to kids ,-55,54.55%,14.29%,21.43%,64.29%,32,31,14,21,63,82,74,16
What an energy efficient grid could look like ,59,45.45%,0.00%,36.36%,63.64%,53,56,54,21,0,0,9,0
What an energy-efficient world looks like ,60,45.45%,0.00%,50.00%,50.00%,49,56,60,21,0,0,8,0
What’s behind the U.S. manufacturing renaissance? ,29,27.27%,0.00%,14.29%,85.71%,41,10,14,21,0,0,3,4
What’s between you and the ground when the plane lands? ,25,26.67%,0.00%,12.50%,87.50%,39,14,0,21,0,0,3,0
What’s it like to invent a new fuel? ,49,46.15%,10.00%,40.00%,50.00%,69,12,42,21,0,0,0,0
When big investment means local opportunity for a small business ,34,53.85%,0.00%,22.22%,77.78%,40,18,39,21,5,11,9,6
"When it comes to wind power, lubricants make a big difference ",53,46.67%,13.33%,26.67%,60.00%,44,65,1,54,0,0,8,8
Why do wind companies love lube? ,68,50.00%,16.67%,16.67%,66.67%,73,86,33,21,0,0,2,0
Why Client Supports Carbon Pricing,38,62.50%,0.00%,14.29%,85.71%,32,46,26,18,0,0,8,11
Why this fight still matters: World Malaria Day 2018 ,-78,53.85%,31.25%,12.50%,56.25%,34,9,5,22,94,75,68,84
Winter is coming: Five tips to stay warm while being energy efficient ,54,43.75%,0.00%,28.57%,71.43%,49,50,57,19,10,0,8,2
Withstanding the storm to fuel America’s needs ,-46,36.36%,28.57%,14.29%,57.14%,41,14,0,21,81,0,8,100
Women in science: Changing mindsets ‘stems’ from awareness ,37,35.71%,0.00%,33.33%,66.67%,34,26,30,21,0,0,8,0
Women in science: Changing mindsets ‘stems’ from awareness ,37,35.71%,0.00%,33.33%,66.67%,34,26,30,21,0,0,8,0
Work-life balance in the middle of the ocean ,26,46.15%,0.00%,6.67%,93.33%,34,23,13,21,8,0,8,12
Working on tomorrow’s biofuel ,24,25.00%,0.00%,25.00%,75.00%,41,9,0,21,0,0,8,0
Working together on tomorrow’s energy ,41,44.44%,0.00%,33.33%,66.67%,39,47,13,21,0,0,8,0
Working together on tomorrow’s energy ,41,44.44%,0.00%,33.33%,66.67%,39,47,13,21,0,0,8,0
Working together to tackle climate risks ,6,66.67%,18.18%,18.18%,63.64%,38,47,13,28,26,0,8,87
Working towards a lower-carbon future ,21,60.00%,0.00%,6.67%,93.33%,37,18,22,18,13,13,8,16
World Malaria Day 2017 – Maintaining progress ,-59,70.00%,20.00%,20.00%,60.00%,32,13,56,18,88,83,8,84
World Malaria Day 2021: 20 Years Of Progress ,-59,50.00%,21.43%,21.43%,57.14%,32,13,56,18,88,83,8,84
Xiaojun Huang: A genuine search for artificial intelligence ,50,41.67%,9.09%,45.45%,45.45%,36,79,45,21,0,0,8,42
Yine VerBrugge: The problem solver ,-33,33.33%,0.00%,57.14%,42.86%,41,9,0,21,38,38,8,58
Youth movement creating a night out in this Texas downtown ,30,46.15%,0.00%,33.33%,66.67%,36,9,38,29,8,10,23,0
Zara Summers: Microbe-tough ,-27,44.44%,14.29%,14.29%,71.43%,41,9,0,21,12,9,8,100
Zero to 60 on less ,-12,50.00%,0.00%,20.00%,80.00%,41,9,0,18,28,27,31,0
